,Filename,TTR,WordCount,UniqueWords,MLU,Fillers,NSNouns,LIVerbs,$,'',",",.,:,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,``,SYM,FW,WP$
10,Bush - Speech50 - Edited.txt,0.1991160220994475,4525.0,901.0,18.305454545454545,16.0,12.0,186.0,1.0,1.0,224.0,275.0,63.0,241.0,34.0,451.0,12.0,446.0,226.0,19.0,2.0,96.0,471.0,102.0,17.0,169.0,2.0,9.0,488.0,42.0,310.0,9.0,3.0,22.0,159.0,8.0,273.0,100.0,111.0,94.0,289.0,152.0,33.0,48.0,31.0,1.0,0.0,0.0,0.0
11,Bush - Speech?? - Edited.txt,0.3003498250874563,2001.0,601.0,16.74074074074074,12.0,6.0,70.0,0.0,1.0,114.0,135.0,28.0,106.0,12.0,202.0,9.0,197.0,88.0,4.0,5.0,49.0,174.0,94.0,1.0,65.0,3.0,2.0,214.0,15.0,161.0,0.0,1.0,9.0,82.0,6.0,125.0,38.0,45.0,61.0,113.0,64.0,14.0,9.0,13.0,1.0,0.0,0.0,0.0
12,Bush - Speech76 - Edited.txt,0.2845894263217098,1778.0,506.0,16.33606557377049,7.0,7.0,70.0,0.0,0.0,91.0,122.0,17.0,88.0,10.0,194.0,12.0,173.0,86.0,6.0,2.0,41.0,168.0,78.0,7.0,57.0,1.0,3.0,198.0,25.0,123.0,1.0,0.0,6.0,73.0,0.0,122.0,28.0,33.0,26.0,106.0,65.0,6.0,13.0,12.0,0.0,0.0,0.0,0.0
13,Bush - Speech105 - Edited.txt,0.22883769091379758,3863.0,884.0,16.61685823754789,21.0,16.0,158.0,0.0,8.0,211.0,261.0,30.0,182.0,18.0,398.0,24.0,382.0,196.0,7.0,6.0,82.0,396.0,116.0,4.0,159.0,3.0,8.0,389.0,34.0,294.0,6.0,0.0,17.0,141.0,7.0,271.0,43.0,70.0,85.0,265.0,139.0,22.0,31.0,22.0,8.0,0.0,0.0,2.0
14,Bush - Speech85 - Edited.txt,0.601593625498008,251.0,151.0,17.4375,0.0,2.0,6.0,0.0,0.0,12.0,16.0,4.0,10.0,6.0,30.0,1.0,30.0,15.0,0.0,2.0,5.0,21.0,12.0,1.0,10.0,1.0,0.0,24.0,2.0,7.0,0.0,0.0,3.0,11.0,1.0,14.0,3.0,5.0,4.0,12.0,13.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0
15,Bush - Speech116 - Edited.txt,0.22947045280122794,3909.0,897.0,15.672597864768683,13.0,8.0,192.0,0.0,3.0,208.0,281.0,23.0,157.0,16.0,413.0,13.0,385.0,201.0,8.0,8.0,95.0,401.0,128.0,8.0,130.0,6.0,7.0,431.0,34.0,284.0,5.0,2.0,24.0,154.0,14.0,297.0,52.0,114.0,63.0,266.0,102.0,20.0,26.0,22.0,3.0,0.0,0.0,0.0
16,Bush - Speech119 - Edited.txt,0.21507556210836712,5426.0,1167.0,17.209631728045327,20.0,12.0,204.0,10.0,10.0,296.0,352.0,31.0,235.0,55.0,577.0,12.0,600.0,274.0,16.0,4.0,120.0,584.0,221.0,14.0,194.0,1.0,13.0,566.0,49.0,342.0,10.0,0.0,31.0,182.0,16.0,326.0,67.0,127.0,122.0,317.0,192.0,30.0,42.0,27.0,10.0,0.0,0.0,0.0
17,Bush - Speech13 - Edited.txt,0.2483204777307788,4019.0,998.0,18.14516129032258,19.0,7.0,140.0,0.0,6.0,228.0,248.0,64.0,212.0,22.0,352.0,28.0,419.0,215.0,11.0,2.0,96.0,395.0,153.0,19.0,157.0,2.0,6.0,418.0,50.0,270.0,2.0,3.0,24.0,120.0,12.0,255.0,105.0,70.0,99.0,222.0,131.0,21.0,36.0,17.0,6.0,0.0,1.0,3.0
18,Bush - Speech112 - Edited.txt,0.30231065468549423,1558.0,471.0,17.606060606060606,2.0,4.0,64.0,0.0,2.0,86.0,99.0,5.0,74.0,11.0,171.0,6.0,153.0,92.0,5.0,7.0,50.0,149.0,42.0,6.0,65.0,3.0,4.0,159.0,15.0,96.0,2.0,0.0,6.0,51.0,3.0,111.0,19.0,32.0,38.0,106.0,33.0,17.0,17.0,6.0,2.0,0.0,0.0,0.0
19,Bush - Speech25 - Edited.txt,0.1951332560834299,4315.0,842.0,19.23293172690763,18.0,16.0,195.0,0.0,4.0,216.0,249.0,70.0,198.0,29.0,451.0,30.0,448.0,185.0,9.0,3.0,103.0,405.0,151.0,10.0,141.0,8.0,5.0,479.0,38.0,312.0,3.0,3.0,26.0,142.0,6.0,270.0,103.0,98.0,106.0,255.0,129.0,20.0,37.0,38.0,4.0,0.0,5.0,0.0
