,index,Filename,Date,JDate,Julian,TTR,WordCount,UniqueWords,MLU,",",.,:,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PRP,PRP$,RB,RBR,RBS,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,'',POS,``,PDT,WP$,$,FW,SYM,Nouns,Nouns/100,NounsNormalised,Adjectives,Adjectives/100,AdjectivesNormalised,Adverbs,Adverbs/100,AdverbsNormalised,Verbs,Verbs/100,VerbsNormalised
20,20,Bush - Speech22 - Edited.txt,18/09/1989,1989-09-18,2447787.5,0.2402458578300374,3742.0,899.0,19.70754716981132,214.0,212.0,67.0,183.0,25.0,371.0,32.0,405.0,202.0,15.0,7.0,98.0,380.0,149.0,9.0,111.0,368.0,40.0,296.0,5.0,1.0,23.0,114.0,2.0,256.0,60.0,76.0,62.0,214.0,101.0,29.0,28.0,16.0,0.0,5.0,0.0,1.0,0.0,0.0,1.0,0.0,649.0,6.49,0.1734366648850882,224.0,2.24,0.05986103687867451,302.0,3.02,0.08070550507749866,769.0,7.69,0.2055050774986638
21,21,Bush - Speech23 - Edited.txt,13/10/1989,1989-10-13,2447812.5,0.2372340425531915,2820.0,669.0,16.746031746031747,149.0,189.0,48.0,130.0,13.0,302.0,23.0,270.0,139.0,8.0,5.0,75.0,281.0,87.0,2.0,80.0,314.0,29.0,205.0,4.0,0.0,25.0,88.0,9.0,183.0,60.0,63.0,53.0,168.0,87.0,13.0,37.0,16.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,450.0,4.5,0.1595744680851064,152.0,1.52,0.05390070921985816,209.0,2.09,0.07411347517730496,614.0,6.14,0.21773049645390072
22,22,Bush - Speech24 - Edited.txt,28/10/1989,1989-10-28,2447827.5,0.2436433859028001,3107.0,757.0,18.808743169398905,145.0,183.0,64.0,141.0,21.0,312.0,17.0,311.0,174.0,4.0,0.0,76.0,330.0,89.0,9.0,94.0,324.0,34.0,217.0,4.0,2.0,16.0,117.0,9.0,205.0,83.0,76.0,63.0,145.0,105.0,22.0,28.0,12.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,522.0,5.22,0.16800772449308013,178.0,1.78,0.05728999034438365,223.0,2.23,0.07177341486964918,677.0,6.77,0.2178950756356614
23,23,Bush - Speech25 - Edited.txt,31/10/1989,1989-10-31,2447830.5,0.1951332560834299,4315.0,842.0,19.23293172690763,216.0,249.0,70.0,198.0,29.0,451.0,30.0,448.0,185.0,9.0,3.0,103.0,405.0,151.0,10.0,141.0,479.0,38.0,312.0,3.0,3.0,26.0,142.0,6.0,270.0,103.0,98.0,106.0,255.0,129.0,20.0,37.0,38.0,4.0,5.0,4.0,8.0,0.0,0.0,5.0,0.0,707.0,7.07,0.1638470451911935,197.0,1.97,0.045654692931633836,318.0,3.18,0.07369640787949015,961.0,9.61,0.2227114716106605
24,24,Bush - Speech26 - Edited.txt,07/11/1989,1989-11-07,2447837.5,0.2335433412991527,4603.0,1075.0,17.033112582781456,232.0,302.0,64.0,187.0,32.0,467.0,24.0,473.0,228.0,5.0,10.0,90.0,479.0,156.0,5.0,176.0,486.0,44.0,349.0,4.0,2.0,29.0,185.0,4.0,283.0,92.0,95.0,74.0,277.0,156.0,26.0,51.0,37.0,1.0,13.0,1.0,4.0,0.0,1.0,0.0,0.0,816.0,8.16,0.1772756897675429,243.0,2.43,0.052791657614599176,355.0,3.55,0.0771236150336737,977.0,9.77,0.21225287855746253
25,25,Bush - Speech27 - Edited.txt,04/12/1989,1989-12-04,2447864.5,0.2574903589439336,3371.0,868.0,17.30275229357798,172.0,218.0,51.0,138.0,16.0,346.0,18.0,371.0,196.0,9.0,10.0,58.0,329.0,148.0,10.0,118.0,372.0,41.0,231.0,7.0,2.0,20.0,115.0,4.0,208.0,118.0,53.0,49.0,164.0,100.0,21.0,25.0,20.0,5.0,2.0,5.0,1.0,0.0,0.0,1.0,0.0,605.0,6.05,0.17947196677543756,215.0,2.15,0.06377929397804806,240.0,2.4,0.07119549095223969,692.0,6.92,0.20528033224562445
26,26,Bush - Speech28 - Edited.txt,16/12/1989,1989-12-16,2447876.5,0.30174927113702626,2058.0,621.0,20.889908256880734,106.0,109.0,30.0,98.0,9.0,216.0,9.0,222.0,102.0,2.0,2.0,62.0,186.0,134.0,10.0,74.0,217.0,17.0,127.0,7.0,1.0,8.0,68.0,3.0,126.0,45.0,37.0,53.0,119.0,47.0,9.0,9.0,6.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,404.0,4.04,0.19630709426627793,106.0,1.06,0.05150631681243926,135.0,1.35,0.06559766763848396,427.0,4.27,0.20748299319727892
27,27,Bush - Speech29 - Edited.txt,21/12/1989,1989-12-21,2447881.5,0.2850838481906443,2266.0,646.0,19.12878787878788,118.0,132.0,51.0,95.0,11.0,251.0,14.0,242.0,123.0,2.0,4.0,46.0,227.0,83.0,5.0,69.0,232.0,24.0,161.0,3.0,0.0,17.0,80.0,5.0,147.0,68.0,39.0,54.0,103.0,77.0,8.0,14.0,10.0,2.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,384.0,3.84,0.16946160635481025,129.0,1.29,0.05692850838481906,164.0,1.64,0.07237422771403354,488.0,4.88,0.21535745807590467
28,28,Bush - Speech30 - Edited.txt,05/01/1990,1990-01-05,2447896.5,0.2773722627737226,2466.0,684.0,17.75,143.0,156.0,48.0,108.0,10.0,261.0,14.0,244.0,123.0,3.0,2.0,65.0,254.0,95.0,6.0,90.0,251.0,38.0,169.0,3.0,1.0,15.0,86.0,4.0,160.0,69.0,28.0,70.0,113.0,85.0,20.0,16.0,11.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,445.0,4.45,0.18045417680454176,128.0,1.28,0.05190592051905921,173.0,1.73,0.07015409570154096,525.0,5.25,0.21289537712895376
29,29,Bush - Speech31 - Edited.txt,24/01/1990,1990-01-24,2447915.5,0.26741573033707866,3115.0,833.0,19.227777777777774,161.0,180.0,42.0,149.0,19.0,345.0,15.0,336.0,155.0,1.0,4.0,52.0,289.0,138.0,9.0,127.0,326.0,19.0,208.0,4.0,3.0,18.0,101.0,3.0,191.0,55.0,56.0,71.0,216.0,103.0,21.0,19.0,12.0,1.0,9.0,1.0,0.0,0.0,0.0,2.0,0.0,563.0,5.63,0.18073836276083466,160.0,1.6,0.051364365971107544,215.0,2.15,0.06902086677367576,692.0,6.92,0.22215088282504014
30,30,Bush - Speech32 - Edited.txt,25/01/1990,1990-01-25,2447916.5,0.2255062944718117,3654.0,824.0,18.86111111111111,201.0,216.0,51.0,165.0,19.0,382.0,31.0,393.0,171.0,9.0,5.0,73.0,361.0,93.0,4.0,122.0,436.0,39.0,235.0,4.0,3.0,14.0,118.0,7.0,207.0,122.0,60.0,91.0,249.0,92.0,28.0,33.0,31.0,1.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,580.0,5.8,0.15873015873015872,185.0,1.85,0.05062944718117132,242.0,2.42,0.0662287903667214,821.0,8.21,0.22468527640941435
31,31,Bush - Speech33 - Edited.txt,12/02/1990,1990-02-12,2447934.5,0.22453016815034615,4044.0,908.0,18.6597510373444,206.0,241.0,60.0,167.0,25.0,435.0,18.0,418.0,183.0,12.0,3.0,112.0,372.0,156.0,22.0,164.0,435.0,39.0,312.0,6.0,3.0,13.0,127.0,5.0,260.0,76.0,70.0,82.0,257.0,123.0,29.0,36.0,15.0,1.0,6.0,1.0,7.0,0.0,0.0,0.0,0.0,714.0,7.14,0.17655786350148367,198.0,1.98,0.04896142433234421,321.0,3.21,0.07937685459940653,868.0,8.68,0.21463897131552917
