,index,Filename,Date,JDate,Julian,TTR,WordCount,UniqueWords,MLU,Fillers,NSNouns,LIVerbs,$,'',",",.,:,CC,CD,DT,EX,IN,JJ,JJR,JJS,MD,NN,NNP,NNPS,NNS,PDT,POS,PRP,PRP$,RB,RBR,RP,TO,UH,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,WRB,``,RBS,FW,WP$,Nouns,Nouns/100,NounsNormalised,Adjectives,Adjectives/100,AdjectivesNormalised,Adverbs,Adverbs/100,AdverbsNormalised,Verbs,Verbs/100,VerbsNormalised
20,20,Reagan - Speech22 - Edited.txt,22/02/1984,1984-02-22,2445752.5,0.24258373205741626,4180.0,1014.0,23.79896907216495,14.0,6.0,148.0,5.0,1.0,242.0,194.0,9.0,184.0,45.0,458.0,24.0,561.0,195.0,14.0,6.0,70.0,462.0,122.0,5.0,182.0,3.0,3.0,354.0,55.0,271.0,9.0,26.0,125.0,7.0,203.0,156.0,115.0,119.0,211.0,83.0,40.0,35.0,19.0,1.0,3.0,0.0,0.0,771.0,7.71,0.18444976076555025,215.0,2.15,0.05143540669856459,283.0,2.83,0.06770334928229665,887.0,8.87,0.21220095693779906
21,21,Reagan - Speech23 - Edited.txt,04/04/1984,1984-04-04,2445794.5,0.2611324903793293,3638.0,950.0,24.66257668711657,15.0,16.0,110.0,9.0,5.0,219.0,163.0,6.0,152.0,47.0,410.0,22.0,474.0,195.0,4.0,4.0,62.0,422.0,105.0,3.0,139.0,7.0,2.0,302.0,42.0,223.0,5.0,12.0,124.0,5.0,184.0,141.0,100.0,91.0,161.0,94.0,27.0,28.0,22.0,5.0,3.0,0.0,1.0,669.0,6.69,0.1838922484881803,203.0,2.03,0.05579989004947773,231.0,2.31,0.06349642660802639,771.0,7.71,0.2119296316657504
22,22,Reagan - Speech24 - Edited.txt,22/05/1984,1984-05-22,2445842.5,0.271889400921659,3472.0,944.0,23.763975155279503,16.0,13.0,144.0,1.0,1.0,191.0,161.0,8.0,141.0,36.0,351.0,21.0,442.0,169.0,11.0,4.0,83.0,370.0,115.0,4.0,130.0,10.0,7.0,341.0,46.0,246.0,4.0,21.0,100.0,5.0,193.0,97.0,78.0,87.0,199.0,83.0,39.0,15.0,15.0,1.0,0.0,0.0,0.0,619.0,6.19,0.17828341013824886,184.0,1.84,0.052995391705069124,250.0,2.5,0.07200460829493087,737.0,7.37,0.2122695852534562
23,23,Reagan - Speech25 - Edited.txt,14/06/1984,1984-06-14,2445865.5,0.2746710526315789,3040.0,835.0,18.89444444444445,7.0,19.0,99.0,0.0,2.0,181.0,179.0,3.0,120.0,30.0,343.0,26.0,408.0,139.0,21.0,5.0,62.0,357.0,58.0,2.0,145.0,5.0,3.0,280.0,33.0,182.0,4.0,17.0,90.0,16.0,144.0,82.0,74.0,89.0,181.0,62.0,26.0,22.0,8.0,2.0,0.0,0.0,0.0,562.0,5.62,0.18486842105263157,165.0,1.65,0.054276315789473686,186.0,1.86,0.06118421052631579,632.0,6.32,0.20789473684210527
24,24,Reagan - Speech26 - Edited.txt,24/07/1984,1984-07-24,2445905.5,0.27400119260584377,3354.0,919.0,23.851612903225806,6.0,8.0,121.0,3.0,2.0,187.0,155.0,7.0,143.0,46.0,354.0,21.0,431.0,139.0,10.0,6.0,52.0,402.0,117.0,2.0,131.0,2.0,3.0,295.0,44.0,197.0,6.0,13.0,119.0,6.0,156.0,101.0,96.0,95.0,173.0,101.0,39.0,22.0,18.0,2.0,1.0,0.0,0.0,652.0,6.52,0.19439475253428742,155.0,1.55,0.04621347644603459,204.0,2.04,0.06082289803220036,722.0,7.22,0.21526535480023853
25,25,Reagan - Speech27 - Edited.txt,09/01/1985,1985-01-09,2446074.5,0.2533515731874145,3655.0,926.0,21.83333333333333,13.0,14.0,131.0,0.0,5.0,219.0,186.0,2.0,147.0,29.0,375.0,22.0,470.0,188.0,20.0,4.0,80.0,379.0,93.0,5.0,168.0,7.0,7.0,338.0,39.0,248.0,3.0,29.0,126.0,9.0,210.0,106.0,97.0,81.0,194.0,82.0,36.0,33.0,18.0,5.0,1.0,0.0,0.0,645.0,6.45,0.17647058823529413,212.0,2.12,0.058002735978112174,252.0,2.52,0.06894664842681258,770.0,7.7,0.2106703146374829
26,26,Reagan - Speech28 - Edited.txt,21/02/1985,1985-02-21,2446117.5,0.269267364414843,3153.0,849.0,25.492647058823533,9.0,6.0,111.0,3.0,2.0,178.0,136.0,2.0,150.0,18.0,357.0,13.0,427.0,144.0,5.0,1.0,62.0,400.0,63.0,5.0,140.0,4.0,3.0,279.0,37.0,161.0,0.0,17.0,97.0,8.0,162.0,101.0,102.0,76.0,168.0,67.0,33.0,31.0,12.0,2.0,0.0,1.0,0.0,608.0,6.08,0.19283222327941643,150.0,1.5,0.047573739295908656,161.0,1.61,0.05106248017760863,676.0,6.76,0.2143989850935617
27,27,Reagan - Speech29 - Edited.txt,21/03/1985,1985-03-21,2446145.5,0.27022900763358776,3275.0,885.0,21.520710059171602,14.0,8.0,122.0,3.0,0.0,188.0,169.0,7.0,148.0,27.0,354.0,20.0,404.0,150.0,8.0,4.0,56.0,329.0,120.0,5.0,117.0,3.0,5.0,326.0,30.0,227.0,1.0,9.0,100.0,11.0,174.0,88.0,80.0,89.0,197.0,95.0,32.0,44.0,17.0,0.0,0.0,0.0,0.0,571.0,5.71,0.17435114503816793,162.0,1.62,0.04946564885496183,228.0,2.28,0.06961832061068703,723.0,7.23,0.22076335877862596
28,28,Reagan - Speech30 - Edited.txt,10/05/1985,1985-05-10,2446195.5,0.2817987152034261,2335.0,658.0,23.63636363636364,8.0,6.0,77.0,2.0,3.0,154.0,110.0,1.0,94.0,45.0,251.0,13.0,336.0,106.0,8.0,5.0,34.0,263.0,60.0,3.0,78.0,3.0,5.0,223.0,38.0,153.0,0.0,6.0,82.0,4.0,100.0,86.0,58.0,63.0,97.0,68.0,18.0,14.0,10.0,3.0,3.0,0.0,0.0,404.0,4.04,0.17301927194860814,119.0,1.19,0.050963597430406855,156.0,1.56,0.06680942184154176,472.0,4.72,0.20214132762312634
29,29,Reagan - Speech31 - Edited.txt,18/06/1985,1985-06-18,2446234.5,0.2608695652173913,2921.0,762.0,21.281045751633986,5.0,10.0,126.0,1.0,1.0,182.0,153.0,4.0,123.0,21.0,330.0,20.0,385.0,116.0,2.0,2.0,62.0,308.0,62.0,8.0,95.0,6.0,1.0,323.0,39.0,219.0,2.0,13.0,95.0,13.0,171.0,76.0,69.0,52.0,163.0,77.0,18.0,21.0,20.0,1.0,2.0,0.0,0.0,473.0,4.73,0.16193084560082163,120.0,1.2,0.04108182129407737,223.0,2.23,0.07634371790482711,608.0,6.08,0.2081478945566587
30,30,Reagan - Speech32 - Edited.txt,17/09/1985,1985-09-17,2446325.5,0.2422444024817912,3707.0,898.0,24.124260355029588,12.0,15.0,135.0,2.0,8.0,201.0,169.0,8.0,153.0,52.0,412.0,18.0,506.0,170.0,14.0,11.0,89.0,408.0,57.0,6.0,156.0,4.0,4.0,366.0,45.0,242.0,7.0,23.0,106.0,7.0,201.0,71.0,82.0,98.0,198.0,102.0,30.0,25.0,17.0,8.0,1.0,0.0,0.0,627.0,6.27,0.16913946587537093,195.0,1.95,0.052603183166981385,250.0,2.5,0.0674399784192069,752.0,7.52,0.20285945508497438
31,31,Reagan - Speech33 - Edited.txt,07/01/1986,1986-01-07,2446437.5,0.2577289800635654,3461.0,892.0,22.03448275862069,18.0,16.0,142.0,5.0,0.0,198.0,174.0,10.0,156.0,36.0,333.0,14.0,435.0,173.0,14.0,3.0,74.0,354.0,83.0,7.0,138.0,5.0,5.0,357.0,48.0,248.0,3.0,17.0,106.0,10.0,194.0,115.0,91.0,101.0,182.0,72.0,29.0,19.0,25.0,0.0,0.0,0.0,0.0,582.0,5.82,0.1681594914764519,190.0,1.9,0.05489742848887605,251.0,2.51,0.07252239237214678,755.0,7.55,0.21814504478474428
32,32,Reagan - Speech34 - Edited.txt,11/02/1986,1986-02-11,2446472.5,0.2540570789031897,3574.0,908.0,21.661202185792344,18.0,13.0,127.0,2.0,7.0,206.0,184.0,6.0,158.0,25.0,383.0,21.0,437.0,165.0,7.0,5.0,72.0,380.0,101.0,10.0,147.0,3.0,4.0,368.0,45.0,259.0,2.0,12.0,109.0,4.0,198.0,129.0,86.0,75.0,186.0,79.0,31.0,24.0,26.0,6.0,2.0,0.0,0.0,638.0,6.38,0.17851147174034696,177.0,1.77,0.049524342473419136,263.0,2.63,0.07358701734750979,753.0,7.53,0.210688304420817
